Category Code, Category 
06-15500,HVAC
06-15520,Mechanical Louvers
06-16000,Electrical
06-16100,Electrical Sub Meters
06-16150,Car Charging Stations
06-16300,Telephone Wiring
06-16500,Lighting Fixtures
06-16800,Fire Alarm System
06-16850,Life Safety Systems
06-16860,Camera Monitoring Systems
06-16870,Access Control Systems
06-16900,Intrusion Security System
06-16950,Programmable Lock System
06-17200,Repair and Corrective Work
06-17300,Final Cleaning
06-17825,Bike Racks
06-17830,Carports
06-17850,Garage Screening Material
06-18625,Postal Equipment
06-18775,Landscaping
06-18800,Garage CO2
06-18850,Site Signage
06-19500,Unallocated Future Costs
06-99999,Total Garage
,
07-00000,Pool Amenity
07-02420,Pavers
07-02600,Retaining Walls
07-02680,Area Drainage
07-02800,Construction Management
07-03175,Slab on Grade
07-03230,Concrete Shell
07-04000,CMU
07-04200,Facebrick
07-05900,Ornamental Metals
07-06763,Quartz Tops
07-07100,Waterproofing
07-09300,Ceramic Tile
07-09710,Concrete Topping
07-09900,Painting
07-10300,Fireplaces
07-15400,Plumbing
07-15500,HVAC
07-16000,Electrical
07-16300,Telephone Wiring
07-16500,Lighting Fixtures
07-16950,Programmable Lock System
07-17000,Punch Labor
07-17025,Pool and Equipment
07-17100,Punch Out Supplies
07-17125,Pool Deck
07-17130,Pool Deck Drains
07-17150,Pool Fence
07-17175,Equipment Enclosure
07-17250,Wood Deck
07-17275,Pool Shower
07-17300,Final Cleaning
07-17305,Cabana
07-17400,Amenity Signage
07-17640,Planters
07-17710,Arbors Trellis
07-17720,Fountains and Equipment
07-18000,Upgrades
07-18525,Masonry Fencing
07-18530,Wood PVC Fencing
07-18775,Landscaping
07-18930,Masonry Columns
07-19500,Unallocated Future Costs
07-99999,Total Pool Amenity
,
08-00000,Auxiliary Amenity
08-03175,Slab on Grade
08-04000,CMU
08-04300,Face Rock Masonry
08-05100,Structural Steel
08-05900,Ornamental Metals
08-06710,Architectural Woodwork
08-06750,"Cabinets, Vanities and Tops"
08-06765,Granite Tops
08-06775,Closet Shelving
08-06800,Finish Carpentry Labor
08-07100,Waterproofing
08-07200,Insulation
08-07375,Caulking
08-07475,Metal Roofs
08-08000,Windows and Screens
08-08080,Awnings
08-08210,Hollow Metal Doors
08-08220,Interior Doors
08-08400,Storefront
08-08700,Finish Hardware
08-09250,Drywall Metal Framing
08-09300,Ceramic Tile
08-09600,Wood Floors
08-09680,Carpet
08-09900,Painting
08-09920,Specialty Finishes
08-09950,Wallcovering
08-10300,Fireplaces
08-10500,Fire Extinguishers
08-10700,Mirrors
08-10800,Bath Accessories
08-10900,Building Signage
08-11100,Kitchen Appliances
08-12500,Window Treatments
08-15300,Fire Sprinkler System
08-15400,Plumbing
08-15500,HVAC
08-16000,Electrical
08-16200,Cable TV
08-16300,Telephone Wiring
08-16500,Lighting Fixtures
08-16700,Audio Visual Equipment
08-16800,Fire Alarm System
08-16900,Intrusion Security System
08-18730,Dog Park
08-19500,Unallocated Future Costs
08-99999,Total Auxiliary Amenity
,
10-00000,Misc. Site Work
10-02420,Pavers
10-02430,Specialty Pavement
10-02540,Bollards
10-02600,Retaining Walls
10-02680,Area Drainage
10-02900,Concrete Stain
10-03150,Foundations
10-04000,CMU
10-04300,Face Rock Masonry
10-04450,Cast Stone
10-05100,Structural Steel
10-05800,Screen Enclosures
10-05850,Metal Cladding Systems
10-05900,Ornamental Metals
10-06725,Wood Stairs and Railings
10-07100,Waterproofing
10-07375,Caulking
10-09700,Concrete Stain Flooring
